wish-present -> future	   VWish;
biafirênê     	   VWish;
bajo            	   VWish;
bialandê       	   VWish;
bênê          	   VWish;
bavêjê        	   VWish;
biaxivê        	   VWish;
biaxînê       	   VWish;
badê           	   VWish;
bibarî         	   VWish;
behsbikê       	   VWish;
bênihtê       	   VWish;
berdê          	   VWish;
biberiqê       	   VWish;
berbikevê      	   VWish;
bersivênê     	   VWish;
bibezê         	   VWish;
bihorê         	   VWish;
bihurê         	   VWish;
bijiqênê      	   VWish;
bibirê         	   VWish;
birrîm         	   VWish;
biborê         	   VWish;
bibê           	   VWish;
çêbikê       	   VWish;
biçêrênê    	   VWish;
biçêrê       	   VWish;
biceribênê    	   VWish;
biçewisênê   	   VWish;
biçikênê     	   VWish;
biçikê        	   VWish;
biçilmisênê  	   VWish;
biçilmisê     	   VWish;
biçilwilê     	   VWish;
biçirê        	   VWish;
biçirusê      	   VWish;
bicivênê      	   VWish;
bicivê         	   VWish;
bicivê         	   VWish;
biçê          	   VWish;
bidê           	   VWish;
daçikênê     	   VWish;
dadê           	   VWish;
dagerênê      	   VWish;
dagirê         	   VWish;
bidahurênê    	   VWish;
dakevê         	   VWish;
dakutênê      	   VWish;
daleqênê      	   VWish;
daliqê         	   VWish;
damezirênê    	   VWish;
dêynê         	   VWish;
daxê           	   VWish;
derênê        	   VWish;
derkevê        	   VWish;
derxê          	   VWish;
destbixê       	   VWish;
dexisê         	   VWish;
dirê           	   VWish;
bibînê        	   VWish;
bidizê         	   VWish;
bidomênê      	   VWish;
biedilênê     	   VWish;
biewtê         	   VWish;
pêxê          	   VWish;
bibê           	   VWish;
bifikirê       	   VWish;
bifirê         	   VWish;
bifroşê       	   VWish;
bifurê         	   VWish;
bigevizênê    	   VWish;
bigevizê       	   VWish;
bigihê         	   VWish;
bigihişê      	   VWish;
bigijgijê      	   VWish;
gire bidê      	   VWish;
girgirê        	   VWish;
bigirê         	   VWish;
bigirê         	   VWish;
bigivê         	   VWish;
biguherê       	   VWish;
biguherênê    	   VWish;
biguherênê    	   VWish;
bigujê         	   VWish;
bihebênê      	   VWish;
hebê           	   VWish;
bihejênê      	   VWish;
bihejê         	   VWish;
bihejê         	   VWish;
bihelê         	   VWish;
bihelênê      	   VWish;
hilbijêrê     	   VWish;
bihêlê        	   VWish;
bihêlê        	   VWish;
biherikê       	   VWish;
biherimênê    	   VWish;
biherimê       	   VWish;
bihesê         	   VWish;
bihesibênê    	   VWish;
bihesê         	   VWish;
bihewênê      	   VWish;
hewilbidê      	   VWish;
hebê           	   VWish;
heyê           	   VWish;
hilbijêrê     	   VWish;
hildê          	   VWish;
hildirênê     	   VWish;
hilgirê        	   VWish;
hilkeşê       	   VWish;
hilbikevê      	   VWish;
hilkişênê    	   VWish;
hilkişê       	   VWish;
hilkutê        	   VWish;
hilweşê       	   VWish;
hilweşê       	   VWish;
hilweşê       	   VWish;
hirşê         	   VWish;
jêbikê        	   VWish;
bijî           	   VWish;
bikenê         	   VWish;
bikeşênê     	   VWish;
bikeşê        	   VWish;
bikevê         	   VWish;
bikewtê        	   VWish;
bikê           	   VWish;
bikirê         	   VWish;
kişkişênê   	   VWish;
kişkişê      	   VWish;
bikolê         	   VWish;
bikusênê      	   VWish;
bikutênê      	   VWish;
bikuxê         	   VWish;
bikuxê         	   VWish;
bilebitê       	   VWish;
lêbigerênê   	   VWish;
lêbigerê      	   VWish;
lêbigerê      	   VWish;
bilerizê       	   VWish;
lêxê          	   VWish;
bileyîzê      	   VWish;
bilîlê        	   VWish;
bilivê         	   VWish;
bilivê         	   VWish;
bilurênê      	   VWish;
bilurê         	   VWish;
bilusê         	   VWish;
bimênê        	   VWish;
bimejê         	   VWish;
bimeşê        	   VWish;
bimeyê         	   VWish;
bimirê         	   VWish;
binalê         	   VWish;
binalê         	   VWish;
binasênê      	   VWish;
nas bikê       	   VWish;
bidim navandê  	   VWish;
binepixê       	   VWish;
binaqênê      	   VWish;
binêrê        	   VWish;
biniqutê       	   VWish;
binivisênê    	   VWish;
binivisê       	   VWish;
binuxumênê    	   VWish;
binuxumê       	   VWish;
bipejîrênê   	   VWish;
pêkbênê      	   VWish;
pêkevê        	   VWish;
pekwerê        	   VWish;
bipengizê      	   VWish;
biperpitê      	   VWish;
bipesinênê    	   VWish;
pêxê          	   VWish;
peyîtênê     	   VWish;
bipeyivê       	   VWish;
bipijênê      	   VWish;
bipijê         	   VWish;
bipijiqênê    	   VWish;
bipijiqê       	   VWish;
bipirsênê     	   VWish;
bipirsê        	   VWish;
biponijê       	   VWish;
biqarê         	   VWish;
biqedênê      	   VWish;
biqedê         	   VWish;
biqedê         	   VWish;
biqefilênê    	   VWish;
biqefilê       	   VWish;
biqehirê       	   VWish;
biqelişê      	   VWish;
biqelizênê    	   VWish;
biqerê         	   VWish;
biqerisê       	   VWish;
biqerê         	   VWish;
biqetênê      	   VWish;
biqetê         	   VWish;
biqetê         	   VWish;
biqewimê       	   VWish;
biqewirênê    	   VWish;
biqewirê       	   VWish;
biqirçê       	   VWish;
biqîrê        	   VWish;
biqufulê       	   VWish;
biqulibê       	   VWish;
rabê           	   VWish;
rabigirê       	   VWish;
rahişê/rajê  	   VWish;
rakevê         	   VWish;
rakê           	   VWish;
ramedênê      	   VWish;
rapelikê       	   VWish;
rapivê         	   VWish;
rawestê        	   VWish;
rabixê         	   VWish;
razê           	   VWish;
rêbixê        	   VWish;
bireqisê       	   VWish;
biretê         	   VWish;
birevênê      	   VWish;
birevê         	   VWish;
bireyanê       	   VWish;
rezbikê        	   VWish;
biricifê       	   VWish;
birijê         	   VWish;
birijê         	   VWish;
rikrikê        	   VWish;
birizanê       	   VWish;
birizênê      	   VWish;
runê           	   VWish;
ruxênê        	   VWish;
biruxê         	   VWish;
biruxê         	   VWish;
bişiyênê     	   VWish;
sebrbikê       	   VWish;
bisekinênê    	   VWish;
bisekinê       	   VWish;
bişemitê      	   VWish;
bişepê        	   VWish;
bişewitê      	   VWish;
bisijê         	   VWish;
bisimsimê      	   VWish;
bişiqitê      	   VWish;
bişixulê      	   VWish;
bişulikê      	   VWish;
bişo           	   VWish;
bişixulênê   	   VWish;
bişixulê      	   VWish;
bitefênê      	   VWish;
bitefê         	   VWish;
bitefê         	   VWish;
têbigihijê    	   VWish;
têbigihişê   	   VWish;
têkevê        	   VWish;
têbikê        	   VWish;
temaşebikê    	   VWish;
temirê         	   VWish;
bitepênê      	   VWish;
biteqê         	   VWish;
biterpilê      	   VWish;
têbixê        	   VWish;
tirsênê       	   VWish;
vebê           	   VWish;
veciniqê       	   VWish;
vedê           	   VWish;
vegerê         	   VWish;
vegerê         	   VWish;
vegevizê       	   VWish;
veherênê      	   VWish;
vejênê        	   VWish;
vekê           	   VWish;
vekişê        	   VWish;
vekişê        	   VWish;
ve?             	   VWish;
vemêlê        	   VWish;
vemirênê      	   VWish;
vemirê         	   VWish;
vemirê         	   VWish;
veqetênê      	   VWish;
veqetê         	   VWish;
veketê         	   VWish;
vetexirê       	   VWish;
vetexirê       	   VWish;
vexê           	   VWish;
vexê           	   VWish;
vexwê          	   VWish;
wergerênê     	   VWish;
wergirê        	   VWish;
biwêrê        	   VWish;
biwerimênê    	   VWish;
biwerimê       	   VWish;
bixapê         	   VWish;
bixapê         	   VWish;
bixebitê       	   VWish;
bixemilênê    	   VWish;
bixemilê       	   VWish;
bixemilê       	   VWish;
bixijikê       	   VWish;
bixê           	   VWish;
xitimênê      	   VWish;
bixitimê       	   VWish;
bixitimê       	   VWish;
bixuyê         	   VWish;
bixwê          	   VWish;
